STATION	LON	LAT	LEVEL_CALC	LEVEL_DAVE	ERROR
ABP_01D0	57	40	1	1	0.5
ABP_26D0	57	40	1		
ALT_01D0	47	87	3	2	0.77
ALT_06C0	47	87	3		
AMT_01C3	45	69	2	1	4.12
AMT_01P0	45	69	2	1	4.14
ASC_01D0	67	42	1	1	0.66
ASK_01D0	75	58	17	13	0.56
AZR_01D0	62	65	1	1	1.2
BAL_01D0	79	74	1	1	4.33
BAO_01C3	30	66	14	2	4.06
BAO_01P0	30	66	14	2	4.05
BHD_01D0	143	25	2	1	0.53
BKT_01D0	113	46	8	7	2.78
BME_01D0	47	62	1	1	1.37
BMW_01D0	47	62	1	1	1.39
BNE_01P2	34	66	20		
BRW_01C0	10	82	1	1	1.14
BRW_01D0	10	82	1	1	0.93
BSC_01D0	84	68	1	1	5.2
CAR_01P2	31	66	23	1	1.19
CDL_06C0	30	73	6		
CFA_02D0	131	36	1		
CGO_01D0	130	26	2	2	0.35
CGO_02D0	130	26	2		
CHM_06C0	43	71	4		
CHR_01D0	10	47	1	1	0.45
CMA_01P2	43	65	20		
CRZ_01D0	93	23	2	1	0.37
CYA_02D0	117	13	2		
DND_01P2	33	70	21		
DRP_01D1	47	16	1	1	0.38
EGB_06C0	41	68	3		
EIC_01D0	29	32	1	1	0.67
ESP_01P2	22	71	17		
ETL_01P2	31	73	19		
ETL_06C0	31	73	6		
FEF_03C0	30	66	17		
FSD_06C0	40	71	3		
GMI_01D0	130	53	1	1	0.74
HBA_01D0	62	8	1	1	0.32
HIL_01P2	37	66	21		
HPB_01D0	77	70	8	1	5.29
HUN_01D0	79	69	4	1	4.7
ICE_01D0	64	77	2	1	0.86
IZO_01D0	66	60	16	16	0.83
KEY_01D0	41	59	1	1	0.86
KUM_01D0	11	56	1	1	0.79
KZD_01D0	103	68	4	1	2.34
KZM_01D0	104	68	17	3	1.55
LEF_01C3	36	69	8	3	3.79
LEF_01D0	36	69	8	3	3.79
LEF_01P0	36	69	7	3	3.79
LEF_01P2	36	69	15		
LLB_06C0	28	73	5		
LLN_01D0	121	58	18	17	2
LMP_01D0	78	64	1	1	1.53
MAA_02D0	98	12	1		
MEX_01D0	34	56	22	20	1.26
MHD_01D0	68	73	1	1	1.06
MID_01D0	2	60	1	1	0.93
MKN_01D0	87	46	21	18	1.55
MLO_01C0	10	56	19	18	0.54
MLO_01D0	10	56	19	18	0.59
MQA_02D0	136	19	1		
NHA_01P2	44	67	18		
NMB_01D0	79	34	4	3	1
NWR_01D0	30	66	20	5	1.09
NWR_01P0	30	66	20	5	1.71
NWR_03C0	30	66	20		
OBN_01D0	87	74	5		
OTA_02D0	130	27	2		
OXK_01D0	77	71	10	8	3.73
PAL_01D0	82	80	5	3	2.43
PFA_01P2	14	79	21		
POC_01D1	13	46	1		
PSA_01D0	47	14	1	1	0.34
PTA_01D0	23	65	1	1	3.07
RPB_01D0	49	53	1	1	0.56
RTA_01P2	9	35	20		
SCA_01P2	41	62	21		
SCT_01C3	40	63	4	3	4.63
SCT_01P0	40	63	4	3	4.53
SEY_01D0	95	44	1	1	0.77
SGP_01D0	33	64	4	1	5
SGP_01P2	34	64	15		
SHM_01D0	142	72	1	1	0.98
SMO_01C0	4	39	1	1	0.56
SMO_01D0	4	39	1	1	0.55
SNP_01C3	41	65	9	3	5
SPL_03C0	30	66	19		
SPO_01C0	63	1	18	1	0.31
SPO_01D0	63	1	18	1	0.32
STM_01D0	73	79	1	1	1.01
STR_01P0	24	65	5	4	4
SUM_01D0	57	82	19	8	0.81
SYO_01D0	88	11	1	1	0.31
TAP_01D0	123	64	1	1	2.58
TDF_01D0	45	19	1	1	0.41
TGC_01P2	34	60	20		
THD_01D0	22	67	2	1	3
THD_01P2	23	67	20		
ULB_01P2	115	70	17		
UTA_01D0	27	66	11	1	1.61
UUM_01D0	117	68	8	1	1.65
WBI_01C3	36	67	6	3	5.36
WBI_01P0	36	67	6	3	5.27
WGC_01C3	24	65	5	3	4.65
WGC_01P0	24	65	2	1	25
WIS_01D0	86	62	4	3	1.73
WKT_01C3	34	62	6	4	3.24
WKT_01D0	34	62	4	1	4.5
WKT_01P0	34	62	5	4	3.24
WLG_01D0	113	64	20	7	1.21
WSA_06C0	48	71	1		
ZEP_01D0	77	85	5	4	0.99
